,X,Y,FID,Hora,Fecha,Comuna,Cód_Tipo_,Cód_Tipo1,Cód_Zona,Cód_Ubica,Cód_Causa,Cód_Cau_1,Cód_Calza,Cód__Tipo,Cód_Estad,Cód_Condi,Cód_Est_1,Fallecidos,Graves,Menos_Grav,Leves,Encoded_mes,Encoded_comuna
147,-70.707016,-33.531132,559,17:30:00,01,CERRILLOS,34,30,1,1,1,27,2,2,1,1,1,0,0,0,1,01,1
148,-70.685463,-33.459068,560,17:40:00,01,ESTACION CENTRAL,33,30,1,16,1,28,2,1,1,1,1,0,0,0,0,01,6
149,-70.730347,-33.419621,561,17:40:00,01,CERRO NAVIA,31,30,1,1,1,27,2,2,1,1,1,0,0,0,1,01,2
150,-70.8253384,-33.4370372,562,17:45:00,01,PUDAHUEL,32,30,1,1,1,11,2,1,1,1,1,0,0,0,0,01,26
151,-70.572906,-33.406319,563,18:30:00,01,LAS CONDES,32,30,1,26,14,98,2,2,1,1,1,0,1,0,0,01,15
152,-70.63652,-33.445156,564,18:30:00,01,SANTIAGO,33,30,1,11,13,97,1,2,1,1,1,0,0,0,0,01,36
153,-70.59063,-33.510048,565,18:30:00,01,LA FLORIDA,33,30,1,1,1,28,2,2,1,1,1,0,0,0,0,01,10
154,-70.645393,-33.458664,566,18:50:00,01,SANTIAGO,33,30,1,11,13,97,3,2,1,1,1,0,0,0,0,01,36
155,-70.618011,-33.440807,567,19:00:00,01,PROVIDENCIA,32,30,1,1,13,97,1,2,1,1,1,0,0,0,1,01,25
156,-70.617409,-33.415443,568,19:00:00,01,PROVIDENCIA,33,30,1,1,1,28,1,1,1,1,1,0,0,0,1,01,25
157,-70.601669,-33.540993,569,19:10:00,01,LA FLORIDA,32,30,1,1,14,98,2,1,1,1,1,0,0,0,0,01,10
158,-70.645958,-33.434837,570,19:10:00,01,SANTIAGO,32,30,1,11,1,27,2,1,1,1,1,0,0,0,0,01,36
159,-70.643974,-33.469303,571,19:30:00,01,SANTIAGO,33,30,1,11,13,97,1,2,1,1,1,0,0,0,0,01,36
160,-70.659416,-33.442356,572,19:30:00,01,SANTIAGO,33,30,1,1,1,27,1,1,1,1,1,0,0,0,1,01,36
161,-70.626884,-33.457348,573,19:40:00,01,ÑUÑOA,33,30,1,1,1,28,1,1,1,1,1,0,0,0,1,01,39
162,-70.5811845,-33.488121,574,19:55:00,01,MACUL,70,70,1,1,14,98,2,1,1,1,1,0,0,0,1,01,19
163,-70.554413,-33.47361,575,20:00:00,01,PEÑALOLEN,33,30,1,11,1,27,3,1,1,1,1,0,0,0,0,01,23
164,-70.689262,-33.459118,576,20:20:00,01,ESTACION CENTRAL,31,30,1,11,10,62,2,1,1,1,1,0,0,0,0,01,6
165,-70.8065464,-33.2362418,577,20:30:00,01,LAMPA,33,30,2,1,1,27,2,2,1,1,1,0,0,0,0,01,14
166,-70.676521,-33.494152,578,20:30:00,01,PEDRO AGUIRRE CERDA,69,40,1,11,14,98,3,2,1,1,1,0,0,0,0,01,22
167,-70.605858,-33.460587,579,20:34:00,01,ÑUÑOA,32,30,1,11,14,98,2,2,1,1,1,0,0,0,0,01,39
168,-70.626808,-33.611408,580,20:45:00,01,LA PINTANA,30,30,1,11,13,97,3,2,1,1,1,0,1,0,0,01,12
169,-70.742859,-33.490589,581,21:30:00,01,MAIPU,10,10,1,26,12,1,2,1,1,1,1,0,0,0,1,01,20
170,-70.664818,-33.538818,582,21:30:00,01,LA CISTERNA,51,40,1,11,12,1,3,1,1,1,1,0,0,0,0,01,9
171,-70.586777,-33.406822,583,21:50:00,01,LAS CONDES,99,99,1,26,14,98,2,2,1,1,1,0,0,0,1,01,15
172,-70.6391323,-33.4175193,584,21:55:00,01,RECOLETA,31,30,1,26,1,29,2,2,2,1,1,0,0,0,1,01,30
173,-70.629593,-33.507149,585,22:00:00,01,SAN JOAQUIN,33,30,1,1,13,97,3,1,1,1,1,0,0,0,0,01,33
174,-70.603432,-33.537605,586,22:10:00,01,LA FLORIDA,33,30,1,1,14,98,3,1,1,1,1,0,0,0,1,01,10
175,-70.6916409,-33.4269766,587,23:00:00,01,QUINTA NORMAL,32,30,1,1,14,98,3,2,1,1,1,0,0,0,0,01,29
176,-70.538506,-33.451733,588,23:15:00,01,LA REINA,32,30,1,1,1,11,3,1,2,1,1,0,0,0,0,01,13
177,-70.573265,-33.535622,589,23:20:00,01,LA FLORIDA,63,40,1,26,12,1,1,2,1,1,1,0,0,0,0,01,10
178,-70.7293455,-33.3578256,590,23:30:00,01,QUILICURA,34,30,1,11,10,62,2,1,1,1,1,0,0,0,2,01,28
179,-70.6073838,-33.4195084,20036,23:18:00,01,PROVIDENCIA,32,30,1,1,13,97,1,2,1,1,1,0,0,0,0,01,25
180,-70.6173199,-33.491599,20840,19:30:00,01,MACUL,70,70,1,1,13,97,2,1,1,1,1,0,0,0,1,01,19
181,-70.7141546,-33.4562613,21246,18:00:00,01,LO PRADO,63,40,1,15,1,28,2,2,1,1,1,0,0,0,0,01,18
182,-70.7989062,-33.5270835,21490,10:30:00,01,MAIPU,70,70,1,1,9,95,3,2,1,1,1,0,0,0,0,01,20
